,Minimization,optim,Optimizer,training_accuracy,Validation accuracy,training_loss,val_loss,Generalization gap,epoch,Sharpness,Architecture
21,SAM,AdaBound,AdaBound,99.80599975585938,87.0999984741211,0.005196291988858369,0.8175127923488616,12.706001281738281,150.0,12399.94000930481,ComplexBatch
22,SAM,Adam,Adam,99.7719955444336,86.29999542236328,0.006772153355802188,1.320282018184662,13.472000122070312,150.0,23315.820645133776,ComplexBatch
23,standard,AdaBound,AdaBound,100.0,86.25,1.257214918117606e-05,1.177426540851593,13.75,150.0,58046.149652274,ComplexBatch
24,standard,AdaShift 0.01,AdaShift,99.78599548339844,84.22000122070312,0.006502876072491615,1.5759608030319214,15.565994262695312,150.0,80226.57599739564,ComplexBatch
25,SAM,Adagrad,Adagrad,99.86000061035156,82.5,0.0039756595291217545,0.8035067975521087,17.360000610351562,150.0,22296.11282143794,ComplexBatch
26,standard,PHB 0.01 0.8,PHB,100.0,85.68000030517578,1.1466065423512489e-05,0.952232277393341,14.319999694824219,150.0,86460.97318250408,ComplexBatch
27,SAM,PHB 0.01 0.8,PHB,99.76200103759766,87.12999725341797,0.0066387106630908885,0.6357730090618133,12.632003784179688,150.0,12738.678578326184,ComplexBatch
28,SAM,AdaShift 0.01,AdaShift,99.77999877929688,85.47000122070312,0.006687558077949682,1.1212748169898987,14.30999755859375,150.0,25431.3820748451,ComplexBatch
29,standard,SGD 0.1,SGD,100.0,86.12999725341797,3.977185642193e-06,1.017766296863556,13.870002746582031,200.0,65735.69252692875,ComplexBatch
30,standard,Adam,Adam,99.86599731445312,85.82999420166016,0.00512773484237727,1.8211712837219238,14.036003112792969,200.0,100609.72651652967,ComplexBatch
31,standard,Adagrad,Adagrad,100.0,80.20999908447266,0.00015260597907432207,1.2420481204986573,19.790000915527344,200.0,154296.4810202438,ComplexBatch
32,SAM,SGD 0.1,SGD,99.88199615478516,87.32999420166016,0.0028973044611302146,0.8418693602085113,12.552001953125,200.0,17245.93807240507,ComplexBatch
33,SAM,AdaBound,AdaBound,99.85199737548828,87.32999420166016,0.004313945990469552,0.8778502702713012,12.522003173828125,200.0,14535.058299175487,ComplexBatch
34,SAM,Adam,Adam,99.7979965209961,85.90999603271484,0.006891590466674702,1.8833273887634276,13.88800048828125,200.0,41753.713416609266,ComplexBatch
35,standard,AdaBound,AdaBound,100.0,86.0199966430664,6.083985251038335e-06,1.2094043016433715,13.980003356933594,200.0,61914.70798338517,ComplexBatch
36,standard,AdaShift 0.01,AdaShift,99.91600036621094,84.6500015258789,0.0035989550105221175,1.6493536472320556,15.265998840332031,200.0,81048.33072123984,ComplexBatch
